class	H7	H1	H6	H5	H2	H11	H4	H12	H14	H10	H9	H3	H13	H8
S10	1	1	1	0	0	1	0	0	0	0	0	0	0	1
S7	0	0	0	1	0	0	1	0	0	0	0	0	0	1
S5	0	1	0	1	0	0	1	0	0	0	1	0	0	0
S1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
S12	0	0	0	0	1	0	0	0	1	0	0	0	0	0
S3	0	1	1	1	0	0	0	0	0	1	0	0	1	1
S9	0	1	0	0	1	0	0	0	0	0	0	0	0	1
S15	0	0	0	1	1	0	0	0	0	0	0	0	0	0
S13	0	1	0	1	0	0	1	0	0	1	0	0	0	0
S4	0	1	1	1	0	0	0	0	0	0	1	1	0	0
S14	0	1	0	0	1	0	1	1	0	0	0	0	0	0
S8	1	1	0	0	0	0	0	0	0	0	1	1	0	1
S2	0	1	0	1	1	1	0	0	0	1	0	0	0	0
S11	0	1	0	1	0	0	1	0	0	0	0	0	0	1
S6	0	0	0	0	1	0	1	0	0	0	0	0	0	0